Using gpu device 0: Tesla K20m
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.7034
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9914
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9923
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9898
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9912
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9938
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9877
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9926
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9915
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9624
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.1032
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9658
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.1026
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9632
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.1281
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9615
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.1118
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9924
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9916
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9912
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9915
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9923
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9918
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9915
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9912
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9539
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.098
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9635
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.098
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9603
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.1716
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.962
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.8616
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9927
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9907
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9924
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9911
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.991
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9919
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9919
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9902
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.986
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9753
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9837
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9728
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9858
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9709
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9855
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.969
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9934
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.993
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.994
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9928
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9939
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9936
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9935
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.994
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.984
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9738
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9834
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9763
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9831
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9708
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9836
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9696
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9938
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9932
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9933
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9936
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9939
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9939
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9946
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9929
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9799
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9696
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.983
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9661
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9827
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9717
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9828
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9658
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9936
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.993
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9942
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9934
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9938
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.993
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9931
Parameter combination {'epochs': 20, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9936
Best parameter combination: {'epochs': 20, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100}
